Responsible entity,Responsible entity.1,Responsible entity.2,Case type,Location,Date and time,Status,Case no.,Case title,Case description,Activity,Severity level,Most probable recurrence frequency,Classification,Cause category,Cause,Immediate actions,Action description,Validation description(Actions),"Cases, Count",Hazard clasiffication
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Slovenia - Ljubljana - Jozeta Jame 16,2025-10-11,Closed,300022,Flammable material close to hot work,Flammable packaging material was stored close to active hot work area with sparks observed.,Repair & Maintenance,-- Not selected --,14 days - 6 months,PH,Procedures,Procedure not followed,Material removed from hot work area.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",2025-11-14,Closed,300023,Steam pressure valve leaking,Pressurized steam valve showed signs of leak during production startup.,Repair & Maintenance,Very low,-- Not selected --,PH,Housekeeping,Housekeeping routines not followed,Valve area isolated and maintenance called.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,China - Wuqing - Quanhui Road No.9,2025-12-17,Closed,300024,Waste container overflow,Waste container overflow near outdoor area. Risk of pollution during rain.,Building & Property conditions,-- Not selected --,6 months - 1 year,PH,-- Not selected --,-- Not selected --,-No value-,Permanent corrective action to be defined by local EHS and area owner.,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,India - Chennai - Oragadam A19/2 SIPCOT,2025-01-20,Registered,300025,Wet floor near side entrance,Operator almost slipped on wet floor near the production side entrance. No wet floor sign was visible.,Walking / working surfaces,Low,-- Not selected --,PH,Facilities and equipment,Defect equipment,Area dried and temporary warning sign placed.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Denmark - Nordborg - Nordborgvej 81,2025-02-23,Closed,300026,Exposed wiring in electrical cabinet,Maintenance noticed exposed wiring and loose cable inside an electrical cabinet during inspection.,-- Not selected --,-- Not selected --,0 - 14 days,PH,Workplace Design,Lay-out inadequate/inappropriate,Cabinet isolated and maintenance ticket created.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,2025-03-26,Closed,300027,Forklift crossing pedestrian lane,Forklift reversed across the pedestrian walkway without clear visual contact with the operator nearby.,Traffic,Medium,Less often,PH,Human Factors,Risk perception,Supervisor informed drivers during shift meeting.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,Mexico - Monterrey - Carretera Miguel Aleman no. 162,2025-04-01,Closed,300028,Chemical spill at storage area,Small oil and solvent spill observed near chemical storage. Container label was damaged.,Manual material handling,-- Not selected --,-- Not selected --,NMI,Procedures,Procedure not followed,Spill kit used and container moved to containment tray.,Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,United States - Tallahassee - 1769 East Paul Dirac Drive,2025-05-04,Closed,300029,Machine guard missing,Machine guard was removed from rotating part during adjustment. Finger pinch point exposed.,Machining & Assembly,High,14 days - 6 months,PH,Housekeeping,Housekeeping routines not followed,Machine stopped until guard was reinstalled.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Slovenia - Ljubljana - Jozeta Jame 16,2025-06-07,Registered,300030,Operatør snubler over afmærkning,   Operatør snubler over afmærkning der delvis står på gågang.   ,Walking / working surfaces,-- Not selected --,-- Not selected --,PH,-- Not selected --,-- Not selected --,Afmærkning flyttet væk fra gågang.,-No value-,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",2025-07-10,Closed,300031,Uszkodzony przewód przy maszynie,Pracownik zauważył uszkodzony przewód i ryzyko porażenia prądem przy panelu sterowania.,Repair & Maintenance,Very low,6 months - 1 year,PH,Facilities and equipment,Defect equipment,Obszar zabezpieczono i zgłoszono do utrzymania ruchu.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,China - Wuqing - Quanhui Road No.9,2025-08-13,Closed,300032,Paletni viličar preblizu pešcem,Viličar je vozil preblizu območja za pešce pri vhodu v skladišče.,Traffic,-- Not selected --,-- Not selected --,PH,Workplace Design,Lay-out inadequate/inappropriate,"Voznik opozorjen, pot za pešce ponovno označena.",Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,India - Chennai - Oragadam A19/2 SIPCOT,2025-09-16,Closed,300033,Manual lifting of heavy box,Employee lifted heavy box from low position repeatedly. Back pain risk reported.,Ergonomic,Low,0 - 14 days,PH,Human Factors,Risk perception,-- Not selected --,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Denmark - Nordborg - Nordborgvej 81,2025-10-19,Closed,300034,Flammable material close to hot work,Flammable packaging material was stored close to active hot work area with sparks observed.,Repair & Maintenance,-- Not selected --,Less often,PH,-- Not selected --,-- Not selected --,Material removed from hot work area.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,2025-11-22,Registered,300035,Steam pressure valve leaking,Pressurized steam valve showed signs of leak during production startup.,Repair & Maintenance,Medium,-- Not selected --,NMI,Housekeeping,Housekeeping routines not followed,Valve area isolated and maintenance called.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Mexico - Monterrey - Carretera Miguel Aleman no. 162,2025-12-25,Closed,300036,Waste container overflow,Waste container overflow near outdoor area. Risk of pollution during rain.,Building & Property conditions,-- Not selected --,14 days - 6 months,PH,-- Not selected --,-- Not selected --,-No value-,Permanent corrective action to be defined by local EHS and area owner.,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,United States - Tallahassee - 1769 East Paul Dirac Drive,2025-01-28,Closed,300036,Wet floor near side entrance,Operator almost slipped on wet floor near the production side entrance. No wet floor sign was visible.,Walking / working surfaces,High,-- Not selected --,PH,Facilities and equipment,Defect equipment,Area dried and temporary warning sign placed.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Slovenia - Ljubljana - Jozeta Jame 16,2025-02-03,Closed,300036,Exposed wiring in electrical cabinet,Maintenance noticed exposed wiring and loose cable inside an electrical cabinet during inspection.,Repair & Maintenance,-- Not selected --,6 months - 1 year,PH,Workplace Design,Lay-out inadequate/inappropriate,Cabinet isolated and maintenance ticket created.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",2025-03-06,Closed,300039,Forklift crossing pedestrian lane,Forklift reversed across the pedestrian walkway without clear visual contact with the operator nearby.,-- Not selected --,Very low,-- Not selected --,PH,Human Factors,Risk perception,Supervisor informed drivers during shift meeting.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,China - Wuqing - Quanhui Road No.9,2025-04-09,Registered,300040,Chemical spill at storage area,   Small oil and solvent spill observed near chemical storage. Container label was damaged.   ,Manual material handling,-- Not selected --,0 - 14 days,PH,Procedures,Procedure not followed,Spill kit used and container moved to containment tray.,Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,India - Chennai - Oragadam A19/2 SIPCOT,2025-05-12,Closed,300041,Machine guard missing,Machine guard was removed from rotating part during adjustment. Finger pinch point exposed.,Machining & Assembly,Low,Less often,PH,Housekeeping,Housekeeping routines not followed,Machine stopped until guard was reinstalled.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,Denmark - Nordborg - Nordborgvej 81,2025-06-15,Closed,300042,Operatør snubler over afmærkning,Operatør snubler over afmærkning der delvis står på gågang.,Walking / working surfaces,-- Not selected --,-- Not selected --,NMI,-- Not selected --,-- Not selected --,Afmærkning flyttet væk fra gågang.,-No value-,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,2025-07-18,Closed,300043,Uszkodzony przewód przy maszynie,Pracownik zauważył uszkodzony przewód i ryzyko porażenia prądem przy panelu sterowania.,Repair & Maintenance,Medium,14 days - 6 months,PH,Facilities and equipment,Defect equipment,Obszar zabezpieczono i zgłoszono do utrzymania ruchu.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Mexico - Monterrey - Carretera Miguel Aleman no. 162,2025-08-21,Closed,300044,Paletni viličar preblizu pešcem,Viličar je vozil preblizu območja za pešce pri vhodu v skladišče.,Traffic,-- Not selected --,-- Not selected --,PH,Workplace Design,Lay-out inadequate/inappropriate,"Voznik opozorjen, pot za pešce ponovno označena.",Permanent corrective action to be defined by local EHS and area owner.,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,United States - Tallahassee - 1769 East Paul Dirac Drive,2025-09-24,Registered,300045,Manual lifting of heavy box,Employee lifted heavy box from low position repeatedly. Back pain risk reported.,Ergonomic,High,6 months - 1 year,PH,Human Factors,Risk perception,-- Not selected --,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Slovenia - Ljubljana - Jozeta Jame 16,2025-10-27,Closed,300046,Flammable material close to hot work,Flammable packaging material was stored close to active hot work area with sparks observed.,Repair & Maintenance,-- Not selected --,-- Not selected --,PH,Procedures,Procedure not followed,Material removed from hot work area.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",2025-11-02,Closed,300047,Steam pressure valve leaking,Pressurized steam valve showed signs of leak during production startup.,Repair & Maintenance,Very low,0 - 14 days,PH,Housekeeping,Housekeeping routines not followed,Valve area isolated and maintenance called.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,China - Wuqing - Quanhui Road No.9,2025-12-05,Closed,300048,Waste container overflow,Waste container overflow near outdoor area. Risk of pollution during rain.,Building & Property conditions,-- Not selected --,Less often,PH,-- Not selected --,-- Not selected --,-No value-,Permanent corrective action to be defined by local EHS and area owner.,Validation pending after completion of corrective action.,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Near miss,India - Chennai - Oragadam A19/2 SIPCOT,2025-01-08,Closed,300049,Wet floor near side entrance,Operator almost slipped on wet floor near the production side entrance. No wet floor sign was visible.,Walking / working surfaces,Low,-- Not selected --,NMI,Facilities and equipment,Defect equipment,Area dried and temporary warning sign placed.,-No value-,-No value-,1,
Danfoss Group = CEO = 50000608 - Danfoss Climate Solutions Segment = DCS = 50021972,-- Not selected on this level --,-- Not selected on this level --,EHS - Potential hazard,Denmark - Nordborg - Nordborgvej 81,2025-02-11,Registered,300050,Exposed wiring in electrical cabinet,   Maintenance noticed exposed wiring and loose cable inside an electrical cabinet during inspection.   ,Repair & Maintenance,-- Not selected --,14 days - 6 months,PH,Workplace Design,Lay-out inadequate/inappropriate,Cabinet isolated and maintenance ticket created.,-No value-,-No value-,1,
