incident_id,external_case_id,year,month,country,site,location,activity,hazard_category,cause_category,severity_level,recurrence_frequency,risk_score,risk_level_label,recommendation_summary,needs_human_review
16d2ae3f-2316-402d-879e-aad0820b0df3,300011,2025,11,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Chemical Hazards,Housekeeping,Medium,Less often,10,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
5411a77f-4af6-4fde-9786-4851dd79fbe4,300012,2025,12,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Building & Property conditions,Environmental Hazards,Unknown,High,0 - 14 days,125,Critical,Contain environmental exposure and verify waste/emission controls. Owner: EHS. Timeframe: Immediate.,True
97cb4c0f-7002-4d07-ba14-a1636e9d914e,300013,2025,1,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,-- Not selected --,Physical Hazards,Facilities and equipment,High,Less often,25,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
d8be35f9-05b4-4027-9669-152510020922,300014,2025,2,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Electrical Hazards,Workplace Design,High,Less often,25,Medium,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 30 days.,False
11390946-5086-4c24-92ba-b9eec612c263,300015,2025,3,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Traffic,Vehicle & Traffic Hazards,Human Factors,Very low,14 days - 6 months,4,Low,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,False
f2595792-abda-4f60-9305-9ffefbb67e9c,300016,2025,4,China,Wuqing,China - Wuqing - Quanhui Road No.9,Manual material handling,Chemical Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
45c0b2a7-ab53-40af-80a2-57e6b38748e3,300017,2025,5,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Machining & Assembly,Mechanical / Equipment Hazards,Unknown,Low,6 months - 1 year,15,Medium,"Inspect guarding, isolate unsafe equipment, and confirm lockout controls. Owner: Maintenance. Timeframe: 30 days.",True
7e95b945-873f-4a9b-884d-7a27966fceb2,300018,2025,6,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Walking / working surfaces,Unknown,Unknown,Unknown,Unknown,,Unknown,Assign an EHS review to clarify hazard and required controls. Owner: EHS. Timeframe: 90 days.,True
23bd62da-ee0a-4651-a16b-825cf4fe8604,300018,2025,7,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Unknown,Facilities and equipment,Medium,0 - 14 days,50,High,Assign an EHS review to clarify hazard and required controls. Owner: EHS. Timeframe: 7 days.,True
3c793929-8a0b-49e9-983d-2d778d852cd1,300020,2025,8,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,Less often,25,Medium,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 30 days.,False
9b931dec-0de0-4fdc-acb3-db15639718c2,300021,2025,9,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Ergonomic,Ergonomic Hazards,Human Factors,High,14 days - 6 months,100,High,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 7 days.",False
85af239a-53f9-4909-aa77-15ecc1244350,300022,2025,10,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Fire & Explosion Hazards,Procedures,High,14 days - 6 months,100,High,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 7 days.,True
1ff05812-4dff-42c8-978b-6a07998d5886,300023,2025,11,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Chemical Hazards,Housekeeping,Very low,Less often,1,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
da70d87d-6c5f-4984-b6ff-257331b837c4,300024,2025,12,China,Wuqing,China - Wuqing - Quanhui Road No.9,Building & Property conditions,Environmental Hazards,Unknown,High,6 months - 1 year,75,High,Contain environmental exposure and verify waste/emission controls. Owner: EHS. Timeframe: 7 days.,True
f6a72f17-d097-49c7-992c-32dbe6496077,300025,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Walking / working surfaces,Physical Hazards,Facilities and equipment,Low,14 days - 6 months,20,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
583fb910-0313-485d-9a89-6c6190b58686,300026,2025,2,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,-- Not selected --,Electrical Hazards,Workplace Design,High,0 - 14 days,125,Critical,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: Immediate.,True
d26d1153-9a4e-4cc7-9bb4-82d50d0b27b5,300027,2025,3,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Traffic,Vehicle & Traffic Hazards,Human Factors,Medium,Less often,10,Low,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,False
44e9528d-8a8c-4a0b-8e58-9dd31fb9d2d3,300028,2025,4,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Manual material handling,Chemical Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
a42b2f8f-06a8-4468-bc02-9958e5eb6daf,300029,2025,5,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Machining & Assembly,Mechanical / Equipment Hazards,Housekeeping,High,14 days - 6 months,100,High,Add housekeeping checks and clear the affected area. Owner: Maintenance. Timeframe: 7 days.,False
808cacf4-365f-4daa-a7eb-fead48a3aeb5,300030,2025,6,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Walking / working surfaces,Unknown,Unknown,Unknown,Unknown,,Unknown,Assign an EHS review to clarify hazard and required controls. Owner: EHS. Timeframe: 90 days.,True
872edbad-9020-467c-b578-a98b2398df27,300031,2025,7,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Unknown,Facilities and equipment,Very low,6 months - 1 year,3,Low,Assign an EHS review to clarify hazard and required controls. Owner: EHS. Timeframe: 90 days.,True
48efc722-8964-4307-93c3-6c9bec707898,300032,2025,8,China,Wuqing,China - Wuqing - Quanhui Road No.9,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,Unknown,,Unknown,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,True
22ab2f6a-0655-4957-a05a-13dfea03a3e3,300033,2025,9,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Ergonomic,Ergonomic Hazards,Human Factors,Low,0 - 14 days,25,Medium,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 30 days.",False
d75205bd-2276-46d3-9d87-982204024e64,300034,2025,10,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Fire & Explosion Hazards,Unknown,High,Less often,25,Medium,Remove ignition exposure and verify emergency/fire controls. Owner: EHS. Timeframe: 30 days.,True
d897df57-3a49-412f-9e32-86128bc7624c,300035,2025,11,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Chemical Hazards,Housekeeping,Medium,Less often,10,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
4f99720a-f4d2-416d-9c76-7a6acc033eef,300036,2025,12,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Building & Property conditions,Environmental Hazards,Unknown,High,14 days - 6 months,100,High,Contain environmental exposure and verify waste/emission controls. Owner: EHS. Timeframe: 7 days.,True
365da859-b7cb-47be-b54d-840755ec02e4,300036,2025,1,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Walking / working surfaces,Physical Hazards,Facilities and equipment,High,14 days - 6 months,100,High,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 7 days.",False
30ff180b-6057-4be4-a457-cc6b901b534f,300036,2025,2,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Electrical Hazards,Workplace Design,High,6 months - 1 year,75,High,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 7 days.,False
02989974-1256-4ed6-ba3a-0a26052a6609,300039,2025,3,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",-- Not selected --,Vehicle & Traffic Hazards,Human Factors,Very low,Unknown,,Unknown,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,True
f9040891-e01a-47f0-9c80-d90513f5ac7b,300040,2025,4,China,Wuqing,China - Wuqing - Quanhui Road No.9,Manual material handling,Chemical Hazards,Procedures,High,0 - 14 days,125,Critical,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: Immediate.,True
c1400b29-9a3c-4f18-8388-7e1f247b4604,300041,2025,5,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Machining & Assembly,Mechanical / Equipment Hazards,Housekeeping,Low,Less often,5,Low,Add housekeeping checks and clear the affected area. Owner: Maintenance. Timeframe: 90 days.,False
5bedf47a-f7bb-4a52-9649-65db42a9743c,300042,2025,6,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Walking / working surfaces,Unknown,Unknown,Unknown,Unknown,,Unknown,Assign an EHS review to clarify hazard and required controls. Owner: EHS. Timeframe: 90 days.,True
7fad5e8b-f0b1-48b8-919b-50a290b37cfb,300043,2025,7,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Unknown,Facilities and equipment,Medium,14 days - 6 months,40,Medium,Assign an EHS review to clarify hazard and required controls. Owner: EHS. Timeframe: 30 days.,True
93df5b59-b7c5-4ef7-a914-623e6f76b3cf,300044,2025,8,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,Unknown,,Unknown,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,True
0b1da2d9-4b2f-4130-80c7-57afda148e2e,300045,2025,9,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Ergonomic,Ergonomic Hazards,Human Factors,High,6 months - 1 year,75,High,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 7 days.",False
17948def-d0ff-457b-a910-efe5e6d76dbb,300046,2025,10,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Fire & Explosion Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
4dcdef58-3e52-42b9-b27a-805526aa44d0,300047,2025,11,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Chemical Hazards,Housekeeping,Very low,0 - 14 days,5,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
e2f9868a-599b-4416-b182-77de74d29cc3,300048,2025,12,China,Wuqing,China - Wuqing - Quanhui Road No.9,Building & Property conditions,Environmental Hazards,Unknown,High,Less often,25,Medium,Contain environmental exposure and verify waste/emission controls. Owner: EHS. Timeframe: 30 days.,True
7aecfd72-d54f-49f9-a5cd-490b2b765e4d,300049,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Walking / working surfaces,Physical Hazards,Facilities and equipment,Low,14 days - 6 months,20,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
15b36e5e-0c6d-42dd-99fd-b2f68438042d,300050,2025,2,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Electrical Hazards,Workplace Design,High,14 days - 6 months,100,High,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 7 days.,False
